"GEO_ID","NAME","POPGROUP","POPGROUP_LABEL","B08303_001E","B08303_001M","B08303_001MA","B08303_001EA","B08303_002E","B08303_002M","B08303_002MA","B08303_002EA","B08303_003E","B08303_003M","B08303_003MA","B08303_003EA","B08303_004E","B08303_004M","B08303_004MA","B08303_004EA","B08303_005E","B08303_005M","B08303_005MA","B08303_005EA","B08303_006E","B08303_006EA","B08303_006M","B08303_006MA","B08303_007E","B08303_007M","B08303_007MA","B08303_007EA","B08303_008E","B08303_008M","B08303_008MA","B08303_008EA","B08303_009E","B08303_009M","B08303_009MA","B08303_009EA","B08303_010E","B08303_010M","B08303_010MA","B08303_010EA","B08303_011E","B08303_011M","B08303_011MA","B08303_011EA","B08303_012E","B08303_012M","B08303_012MA","B08303_012EA","B08303_013E","B08303_013M","B08303_013MA","B08303_013EA",
"Geography","Geographic Area Name","Race/Ethnic Group","Population Groups","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!Less than 5 minutes","Margin of Error!!Total:!!Less than 5 minutes","Annotation of Margin of Error!!Total:!!Less than 5 minutes","Annotation of Estimate!!Total:!!Less than 5 minutes","Estimate!!Total:!!5 to 9 minutes","Margin of Error!!Total:!!5 to 9 minutes","Annotation of Margin of Error!!Total:!!5 to 9 minutes","Annotation of Estimate!!Total:!!5 to 9 minutes","Estimate!!Total:!!10 to 14 minutes","Margin of Error!!Total:!!10 to 14 minutes","Annotation of Margin of Error!!Total:!!10 to 14 minutes","Annotation of Estimate!!Total:!!10 to 14 minutes","Estimate!!Total:!!15 to 19 minutes","Margin of Error!!Total:!!15 to 19 minutes","Annotation of Margin of Error!!Total:!!15 to 19 minutes","Annotation of Estimate!!Total:!!15 to 19 minutes","Estimate!!Total:!!20 to 24 minutes","Annotation of Estimate!!Total:!!20 to 24 minutes","Margin of Error!!Total:!!20 to 24 minutes","Annotation of Margin of Error!!Total:!!20 to 24 minutes","Estimate!!Total:!!25 to 29 minutes","Margin of Error!!Total:!!25 to 29 minutes","Annotation of Margin of Error!!Total:!!25 to 29 minutes","Annotation of Estimate!!Total:!!25 to 29 minutes","Estimate!!Total:!!30 to 34 minutes","Margin of Error!!Total:!!30 to 34 minutes","Annotation of Margin of Error!!Total:!!30 to 34 minutes","Annotation of Estimate!!Total:!!30 to 34 minutes","Estimate!!Total:!!35 to 39 minutes","Margin of Error!!Total:!!35 to 39 minutes","Annotation of Margin of Error!!Total:!!35 to 39 minutes","Annotation of Estimate!!Total:!!35 to 39 minutes","Estimate!!Total:!!40 to 44 minutes","Margin of Error!!Total:!!40 to 44 minutes","Annotation of Margin of Error!!Total:!!40 to 44 minutes","Annotation of Estimate!!Total:!!40 to 44 minutes","Estimate!!Total:!!45 to 59 minutes","Margin of Error!!Total:!!45 to 59 minutes","Annotation of Margin of Error!!Total:!!45 to 59 minutes","Annotation of Estimate!!Total:!!45 to 59 minutes","Estimate!!Total:!!60 to 89 minutes","Margin of Error!!Total:!!60 to 89 minutes","Annotation of Margin of Error!!Total:!!60 to 89 minutes","Annotation of Estimate!!Total:!!60 to 89 minutes","Estimate!!Total:!!90 or more minutes","Margin of Error!!Total:!!90 or more minutes","Annotation of Margin of Error!!Total:!!90 or more minutes","Annotation of Estimate!!Total:!!90 or more minutes",
"0500000US51650","Hampton city, Virginia","001","Total population","63191","1338","null","null","1186","291","null","null","5997","653","null","null","11927","954","null","null","13227","1121","null","null","9752","null","804","null","3720","444","null","null","7600","831","null","null","1665","359","null","null","1901","431","null","null","3153","528","null","null","1977","360","null","null","1086","327","null","null",
"0500000US51660","Harrisonburg city, Virginia","001","Total population","22468","826","null","null","937","225","null","null","5233","509","null","null","5890","522","null","null","4601","502","null","null","1975","null","347","null","835","236","null","null","997","261","null","null","294","146","null","null","517","178","null","null","383","128","null","null","496","172","null","null","310","123","null","null",
"0500000US51670","Hopewell city, Virginia","001","Total population","9075","624","null","null","337","162","null","null","867","254","null","null","1126","344","null","null","1312","286","null","null","1211","null","330","null","908","300","null","null","1292","345","null","null","382","149","null","null","482","195","null","null","712","214","null","null","153","98","null","null","293","143","null","null",
"0500000US51678","Lexington city, Virginia","001","Total population","2178","340","null","null","210","111","null","null","939","272","null","null","308","124","null","null","290","146","null","null","48","null","45","null","45","40","null","null","80","70","null","null","33","42","null","null","48","46","null","null","132","90","null","null","31","42","null","null","14","32","null","null",
"0500000US51680","Lynchburg city, Virginia","001","Total population","33240","985","null","null","1558","407","null","null","5711","501","null","null","9038","764","null","null","7906","719","null","null","3865","null","519","null","1219","275","null","null","1349","293","null","null","414","172","null","null","211","115","null","null","453","152","null","null","879","268","null","null","637","211","null","null",
"0500000US51683","Manassas city, Virginia","001","Total population","20866","740","null","null","296","121","null","null","2109","375","null","null","2562","414","null","null","1922","355","null","null","1707","null","367","null","997","289","null","null","2552","363","null","null","605","200","null","null","992","291","null","null","2796","433","null","null","3019","407","null","null","1309","332","null","null",
"0500000US51685","Manassas Park city, Virginia","001","Total population","9036","430","null","null","35","40","null","null","470","200","null","null","698","316","null","null","890","301","null","null","693","null","275","null","459","236","null","null","1283","347","null","null","137","83","null","null","600","268","null","null","1467","359","null","null","1516","379","null","null","788","304","null","null",
"0500000US51690","Martinsville city, Virginia","001","Total population","4892","344","null","null","310","147","null","null","1002","223","null","null","1077","246","null","null","982","266","null","null","497","null","182","null","35","38","null","null","229","90","null","null","55","50","null","null","79","51","null","null","351","146","null","null","170","83","null","null","105","76","null","null",
"0500000US51700","Newport News city, Virginia","001","Total population","86069","1724","null","null","1522","322","null","null","9247","928","null","null","14072","888","null","null","16915","1223","null","null","13372","null","805","null","5262","658","null","null","11076","926","null","null","1474","271","null","null","2394","406","null","null","5348","707","null","null","3714","640","null","null","1673","415","null","null",
"0500000US51710","Norfolk city, Virginia","001","Total population","121329","1502","null","null","5983","790","null","null","12965","1154","null","null","18147","1111","null","null","23228","2178","null","null","20608","null","1124","null","8115","802","null","null","17233","1147","null","null","2430","426","null","null","2784","340","null","null","4697","656","null","null","2939","484","null","null","2200","374","null","null",
"0500000US51730","Petersburg city, Virginia","001","Total population","13479","635","null","null","134","97","null","null","1350","312","null","null","2478","501","null","null","2421","422","null","null","1766","null","373","null","1084","268","null","null","1645","340","null","null","454","148","null","null","473","139","null","null","1067","272","null","null","302","128","null","null","305","138","null","null",
"0500000US51735","Poquoson city, Virginia","001","Total population","5789","348","null","null","102","82","null","null","384","161","null","null","526","169","null","null","762","160","null","null","1428","null","250","null","625","158","null","null","837","222","null","null","112","73","null","null","255","124","null","null","368","140","null","null","256","118","null","null","134","110","null","null",
