OBJECTID,GEOID,NAME,B17001_001E,B17001_002E,B17001_003E,B17001_004E,B17001_005E,B17001_006E,B17001_007E,B17001_008E,B17001_009E,B17001_010E,B17001_011E,B17001_012E,B17001_013E,B17001_014E,B17001_015E,B17001_016E,B17001_017E,B17001_018E,B17001_019E,B17001_020E,B17001_021E,B17001_022E,B17001_023E,B17001_024E,B17001_025E,B17001_026E,B17001_027E,B17001_028E,B17001_029E,B17001_030E,B17001_031E,B17001_032E,B17001_033E,B17001_034E,B17001_035E,B17001_036E,B17001_037E,B17001_038E,B17001_039E,B17001_040E,B17001_041E,B17001_042E,B17001_043E,B17001_044E,B17001_045E,B17001_046E,B17001_047E,B17001_048E,B17001_049E,B17001_050E,B17001_051E,B17001_052E,B17001_053E,B17001_054E,B17001_055E,B17001_056E,B17001_057E,B17001_058E,B17001_059E,ACS_VINTAGE,TRACT_LABEL,JURISDICTION,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES
78,53033007500,"Census Tract 75, King County, Washington",5947,732,403,0,0,0,27,0,0,157,59,37,64,42,17,0,329,0,0,0,15,0,15,99,48,28,41,46,18,19,5215,2466,84,0,35,27,20,0,152,1083,502,280,245,0,38,2749,23,14,14,15,0,0,290,1483,386,263,118,130,13,5Y10,75,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill"
79,53033007600,"Census Tract 76, King County, Washington",3595,384,196,0,0,0,0,0,11,0,55,54,16,34,13,13,188,0,0,0,0,0,0,65,30,10,0,60,23,0,3211,1573,81,0,70,45,0,27,66,587,407,112,110,22,46,1638,110,13,48,39,33,13,80,701,270,118,127,41,45,5Y10,76,Seattle,6.4,6,Miller Park,"Madison-Miller, Miller Park, Capitol Hill, Stevens"
80,53033007700,"Census Tract 77, King County, Washington",3947,647,303,61,12,0,0,24,0,75,39,68,24,0,0,0,344,23,0,59,10,0,0,58,91,10,64,17,12,0,3300,1627,116,0,65,57,22,0,72,414,452,189,156,29,55,1673,65,0,55,16,0,47,133,448,301,286,130,136,56,5Y10,77,Seattle,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park"
81,53033007800,"Census Tract 78, King County, Washington",5263,320,137,18,0,0,0,0,0,8,16,16,64,0,15,0,183,37,0,0,0,0,0,49,19,25,0,13,14,26,4943,2412,218,0,117,26,18,31,66,218,435,469,438,262,114,2531,262,47,159,94,8,62,71,172,504,323,565,158,106,5Y10,78,Seattle,5.1,5,Madrona/Leschi,"Madrona, Leschi, Harrison/Denny-Blaine"
82,53033007900,"Census Tract 79, King County, Washington",4997,734,268,0,0,0,0,0,0,28,94,0,20,81,45,0,466,0,0,0,0,0,0,130,101,0,39,75,71,50,4263,1842,82,35,0,26,0,0,73,532,486,283,190,118,17,2421,100,23,84,24,0,0,393,602,509,210,217,142,117,5Y10,79,Seattle,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park"
83,53033008001,"Census Tract 80.01, King County, Washington",5003,609,346,0,0,0,0,0,0,172,43,14,23,62,0,32,263,0,0,0,0,0,0,99,92,15,15,28,0,14,4394,2681,28,0,0,0,13,0,63,1115,572,437,284,98,71,1713,0,0,14,0,0,0,280,431,484,223,164,52,65,5Y10,80.01,Seattle,13.1,13,Belltown,"Belltown, Denny Regrade"
84,53033008002,"Census Tract 80.02, King County, Washington",2731,711,463,16,0,0,0,0,0,96,0,57,130,149,15,0,248,0,0,0,0,0,0,103,35,0,10,85,15,0,2020,1065,0,0,0,0,0,21,74,348,261,68,120,120,53,955,0,0,39,0,0,0,55,307,206,117,109,94,28,5Y10,80.02,Seattle,13.1,13,Belltown,"Belltown, Denny Regrade"
85,53033008100,"Census Tract 81, King County, Washington",4185,1643,1123,15,0,0,0,0,0,140,117,261,323,141,14,112,520,0,0,0,0,0,0,79,141,82,35,125,0,58,2542,1501,66,0,0,0,0,0,28,308,274,390,246,148,41,1041,0,0,0,0,0,0,50,330,153,215,127,83,83,5Y10,81,Seattle,13.2,13,Downtown Commercial Core,"Downtown Commercial Core, West Edge, Central Business District, Pike Place Market, Pioneer Square"
86,53033008200,"Census Tract 82, King County, Washington",2808,395,129,0,0,0,0,0,0,17,60,14,38,0,0,0,266,0,0,0,0,0,0,75,14,0,40,42,64,31,2413,1227,15,0,0,0,0,0,82,406,307,62,128,43,184,1186,0,0,0,0,0,0,104,251,91,167,171,134,268,5Y10,82,Seattle,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park"
87,53033008300,"Census Tract 83, King County, Washington",2397,362,166,0,0,0,0,0,0,0,12,31,67,0,0,56,196,0,0,0,0,0,0,69,15,0,0,38,74,0,2035,852,0,0,0,0,0,0,65,308,146,84,136,30,83,1183,0,0,0,0,0,0,0,577,181,163,89,80,93,5Y10,83,Seattle,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park"
88,53033008400,"Census Tract 84, King County, Washington",4035,703,251,45,0,0,0,0,0,56,70,0,63,17,0,0,452,48,0,14,14,0,15,77,54,75,128,0,0,27,3332,1765,26,0,23,0,0,0,197,618,423,144,171,60,103,1567,16,0,14,0,0,0,296,650,156,104,66,96,169,5Y10,84,Seattle,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill"
89,53033008500,"Census Tract 85, King County, Washington",2192,889,424,28,20,29,0,0,0,30,57,104,55,85,0,16,465,35,0,76,0,26,11,29,98,31,40,95,24,0,1303,549,12,0,0,13,32,0,54,254,10,76,33,22,43,754,0,0,0,0,0,13,132,193,182,48,70,57,59,5Y10,85,Seattle,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park"
90,53033008600,"Census Tract 86, King County, Washington",2954,1142,561,22,0,0,20,0,9,218,39,80,86,49,38,0,581,0,9,13,14,0,0,299,35,69,67,21,19,35,1812,911,0,14,8,15,0,0,132,324,179,155,29,37,18,901,0,0,87,18,19,19,138,303,137,69,41,38,32,5Y10,86,Seattle,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park"
91,53033008700,"Census Tract 87, King County, Washington",3849,552,210,0,0,9,0,0,0,32,33,63,32,10,0,31,342,22,10,55,27,0,0,90,57,59,22,0,0,0,3297,1519,73,0,54,95,0,43,129,214,400,269,145,76,21,1778,114,11,103,55,31,29,179,381,326,255,184,32,78,5Y10,87,Seattle,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park"
